tnsn ,titem_name ,titem_price ,tdescription 
5350-00-012-1869 ,Abrasive Blasting Material ,28.5,"Sieve size: 8; MIL-PRF-9954 Spherical soda-lime glass bead abrasive. May be used with pressure/suction type blasting equipment. All new materials are excellent for removing carbon, de-scaling, and cleaning and finishing metallic parts. Also suitable for p"
5350-00-268-3116 ,Abrasive Cloth (Rolls) ,28.65,Type: Crocus. Non-waterproof jean cloth is useful in hand-sanding applications and for finish work. In roll form.  
5350-00-161-9066 ,Abrasive Cloth (Sheets) ,18.56,"Grit size: 100. Aluminum oxide jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-192-5049 ,Abrasive Cloth (Sheets) ,18.56,"Grit size: 120. Aluminum oxide jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-192-5050 ,Abrasive Cloth (Sheets) ,18.56,"Grit size: 150. Aluminum oxide jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-192-5051 ,Abrasive Cloth (Sheets) ,18.56,"Grit size: 180. Aluminum oxide jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-192-9316 ,Abrasive Cloth (Sheets) ,15.27,"Grit size: 220. Aluminum oxide jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-584-4654 ,Abrasive Cloth (Sheets) ,25.73,"Grit size: 240, Fine. Emery jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-161-9715 ,Abrasive Cloth (Sheets) ,18.56,"Grit size: 240. Aluminum oxide jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-246-0330 ,Abrasive Cloth (Sheets) ,18.56,"Grit size: 320. Aluminum oxide jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-246-0331 ,Abrasive Cloth (Sheets) ,21.84,"Grit size: 40. Aluminum oxide drill cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-246-0333 ,Abrasive Cloth (Sheets) ,20.59,"Grit size: 50. Aluminum oxide drill cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-253-4393 ,Abrasive Cloth (Sheets) ,19.91,"Grit size: 60. Aluminum oxide drill cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-192-5047 ,Abrasive Cloth (Sheets) ,19.06,"Grit size: 80. Aluminum oxide jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-584-4660 ,Abrasive Cloth (Sheets) ,27.29,"Grit size: Coarse. Emery jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-221-0872 ,Abrasive Cloth (Sheets) ,32.89,"Grit size: Fine. Quartz crocus cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-584-4653 ,Abrasive Cloth (Sheets) ,27.73,"Grit size: Medium. Emery jean cloth. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5350-00-271-5950 ,Abrasive Cloth (Sheets) ,25.77,"Aluminum oxide jean cloth set contains 72 sheets, 12 each of grit sizes: 36, 40, 60, 80, 100 and 120. Non-waterproof drill, jean or crocus cloth designed for use in hand-sanding and finishing work.  "
5345-01-367-7681 ,Abrasive Disk ,274.69,"Aluminum Oxide. Grit - 180, Closed Coat, Resin Bond. Size - 6 inch outside diameter. Plain flat, ""A"" weight, non-waterproof paper, with pressure sensitive adhesive (PSA)  backing. Has 6 pre-punched holes for dust free sanding and used in conjunction with "
5345-00-558-5928 ,Abrasive Disk ,21.03,"Grit size: 24; with a 7/8"" arbor hole. Designed for use with portable grinders and sanders, and for surface preparation (including removal of paint, scale and rust). Non-waterproof, closed coat disk features a 7/8"" arbor hole (without slits or slots). ANS"
5345-01-432-3292 ,Abrasive Disk ,78.53,"Grit: 120. Regalite (aluminum oxide & ceramic aluminum oxide mix).  Designed for metal working, speed rating 18,000. Taper size 5/8'. A moulded abrasive (regalite)filled surface conditioning ""ROLOC"" threaded bristle disk, used in conjunction with various "
5345-01-432-3030 ,Abrasive Disk ,50.81,"Grit: 50. Regalite (aluminum oxide & ceramic aluminum oxide mix).  Designed for metal working, speed rating 25,000. Taper size 5/8'. A moulded abrasive (regalite) filled surface conditioning ""ROLOC"" threaded bristle disk, used in conjunction with various "
5345-01-214-2918 ,Abrasive Disk ,39.15,"Aluminum oxide. Grit size: 60. Abrasive disk plain flat with ""Power-Lock"" quick change with a resin bond. Adhesive backing and arborhole is not included. Backing consists of ""X"" weight drills cloth.  "
5345-01-174-1541 ,Abrasive Disk ,31.03,"Size: 1.500 inch outside diameter. Aluminum oxide. Plain flat, no arbor hole and non-waterproof. Backing ""X"" drill cloth. ""Power Lock"", type 1, quick change, snap-on style mechanical locking device, back-up pads.  "
5345-01-521-4542 ,Abrasive Disk ,183.28,"Grit size: 120. Aluminum oxide. Backing is screen type mesh composition, plain flat, round shape. Abrasive disk is designed for environmentally friendly working conditions providing ""dust free"" vacuum sanding and extraction. Designed for metal working.  "
5345-01-420-1453 ,Abrasive Disk ,25.52,"Grit size: 120. Aluminum oxide/Cubitron mix. This abrasive disk with cloth backing is used for metal working. Closed coat, non-waterpoof. Features a ""ROLOC TR"" threaded, quick-change, mechanical feature for attachment.  "
5345-01-419-3281 ,Abrasive Disk ,38.43,"Grit Size: Coarse. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features ""Powerlock"" or ""ROLOC TP"" quick-change, snap-on, mechanical features for attachment to back-"
5345-01-419-3280 ,Abrasive Disk ,38.43,"Grit size: Medium. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features ""Powerlock"" or ""ROLOC TP"" quick-change, snap-on, mechanical features for attachment to back-"
5345-01-521-4927 ,Abrasive Disk ,121.8,"Grit: 180. Aluminum oxide. Backing is screen type mesh composition, plain flat, round shape. Abrasive disk is designed for environmentally friendly working conditions providing ""dust free"" vacuum sanding and extraction. Designed for metal working.  "
5345-01-521-7251 ,Abrasive Disk ,183.28,"Grit: 180. Aluminum oxide. Backing is screen type mesh composition, plain flat, round shape. Abrasive disk is designed for environmentally friendly working conditions providing ""dust free"" vacuum sanding and extraction. Designed for metal working.  "
5345-01-521-4926 ,Abrasive Disk ,121.8,"Grit: 240 Aluminum oxide. Backing is screen type mesh composition, plain flat, round shape. Abrasive disk is designed for environmentally friendly working conditions providing ""dust free"" vacuum sanding and extraction. Designed for metal working.  "
5345-01-420-1456 ,Abrasive Disk (Aluminum Oxide) ,30.51,"Grit size: 36. Aluminum oxide/cubitron blend. This abrasive disk with cloth backing is used for metal working. Closed coat, non-waterpoof. Features a ""ROLOC TR"" threaded, quick-change, mechanical feature for attachment.  "
5345-01-420-1457 ,Abrasive Disk (Aluminum Oxide) ,25.52,"Grit size: 80. Aluminum oxide/cubitron. This abrasive disk with cloth backing is used for metal working. Closed coat, non-waterpoof. Features a ""ROLOC TR"" threaded, quick-change, mechanical feature for attachment.  "
5345-01-249-8361 ,Abrasive Disk (Surface Conditioning) ,106.68,"Grit size: Coarse. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features a ""ROLOC TR"" male-threaded, quick-change, mechanical attachment feature.  "
5345-01-252-8565 ,Abrasive Disk (Surface Conditioning) ,113.62,"Grit size: Coarse. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features a ""ROLOC TR"" male-threaded, quick-change, mechanical attachment feature.  "
5345-01-397-5256 ,Abrasive Disk (Surface Conditioning) ,106.68,"Grit size: Medium. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features a ""ROLOC TR"" male-threaded, quick-change, mechanical attachment feature.  "
5345-01-282-0634 ,Abrasive Disk (Surface Conditioning) ,113.62,"Grit size: Medium. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features a ""ROLOC TR"" male-threaded, quick-change, mechanical attachment feature.  "
5345-01-444-8433 ,Abrasive Disk (Surface Conditioning) ,106.11,"Grit size: Super fine. Silicon carbide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features a ""ROLOC TR"" male-threaded, quick-change, mechanical attachment feature.  "
5345-01-424-2260 ,Abrasive Disk (Surface Conditioning) ,108.19,"Grit size: Super fine. Silicon carbide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features a ""ROLOC TR"" male-threaded, quick-change, mechanical attachment feature.  "
5345-01-397-5253 ,Abrasive Disk (Surface Conditioning) ,106.68,"Grit size: Very fine. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features a ""ROLOC TR"" male-threaded, quick-change, mechanical attachment feature.  "
5345-01-367-7680 ,Abrasive Disk (Surface Conditioning) ,113.62,"Grit size: Very fine. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features a ""ROLOC TR"" male-threaded, quick-change, mechanical attachment feature.  "
5345-01-419-3278 ,Abrasive Disk (Surface Conditioning) ,125.94,"Medium grade. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features ""Powerlock"" or ""ROLOC TP"" quick-change, snap-on, mechanical features for attachment to back-up pa"
5345-01-368-8364 ,Abrasive Disk (Surface Conditioning) ,27.34,"Aluminum oxide. Grit size: Medium. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features ""Powerlock"" or ""ROLOC TP"" quick-change, snap-on, mechanical features for attachment to back-"
5345-01-332-6742 ,Abrasive Disk (Surface Conditioning) ,45.82,"Grit size: Medium. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features ""Powerlock"" or ""ROLOC TP"" quick-change, snap-on, mechanical features for attachment to back-"
5345-01-419-3279 ,Abrasive Disk (Surface Conditioning) ,27.34,"Grit size: Very fine. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features ""Powerlock"" or ""ROLOC TP"" quick-change, snap-on, mechanical features for attachment to ba"
5345-01-424-2258 ,Abrasive Disk (Surface Conditioning) ,31.3,"Grit size: Very fine. Aluminum oxide. Scotch-brite disk material provides a burr-free surface suitable for painting, coating, light rust removal and oxides. Features a ""ROLOC TR"" male-threaded, quick-change, mechanical attachment feature.  "
5345-01-364-3025 ,Abrasive Disk Holder ,8.46,"Material: Rubber; Hardness: Medium. Two inch rubber back-up pad used with a 1/4 x 20 adapter shaft. The back-up pad is physically and functionally compatible with the 3M ROLOC, female threaded ""quick change"".  "
5345-01-015-1419 ,Abrasive Disk Kit ,71.17,"Kit contains of an assortment of aluminum oxide disks with a resin bond and drill backing cloth used for metal working. Features Merit abrasive-style ""power-lock"" disk-to-pad attachment design. Kit consists of 150 disk of assorted sizes and grits as follo"
5345-01-432-3033 ,Abrasive Disk Pad Holder ,29,"Disk pad holder used in conjunction with various right angle tools for metal working. Moulded, medium hardness, no arbor hole, with 'ROLOC"" quick change threaded mechanical feature.  "
5345-01-017-9511 ,"Abrasive Disk,  Aluminum Oxide ",37.73,"Grit size: 80. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. ""X"" weight drill cloth, no arbor hole. (Replacement disk for Abrasive Disk Kit NSN 5345-01-01"
5345-01-053-7925 ,"Abrasive Disk,  Silicon Carbide (PSA) ",29.51,"Grit size: 80. For use with dual action sanders for metal and woodworking applications, this flat disk features no arbor hole or open coat and is not waterproof.  "
5345-01-206-3821 ,"Abrasive Disk, Aluminum Oxide ",40.45,"Grit size: 36. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. (Replacement disk for Abrasive Disk Kit NSN 5345-01-015-1419).  "
5345-01-392-6502 ,"Abrasive Disk, Aluminum Oxide ",107.06,"Grit size: 36. Disk is non-water proof, closed coating, plastic, polyester backing. ""Regal Roloc"" (male style) quick change feature. Designed for metal working.  "
5345-01-218-2049 ,"Abrasive Disk, Aluminum Oxide ",62.76,"Grit size: 100. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. (Replacement disk for Abrasive Disk Kit NSN 5345-01-015-1419).  "
5345-01-443-8015 ,"Abrasive Disk, Aluminum Oxide ",44.59,"Grit size: 120. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. (Replacement disk for Abrasive Disk Kit NSN 5345-01-015-1419).  "
5345-01-214-9474 ,"Abrasive Disk, Aluminum Oxide ",44.54,"Grit size: 180. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. (Replacement disk for Abrasive Disk Kit NSN 5345-01-015-1419).  "
5345-01-214-2919 ,"Abrasive Disk, Aluminum Oxide ",58.02,"Grit size: 80. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. (Replacement disk for Abrasive Disk Kit NSN 5345-01-015-1419).  "
5345-01-010-4418 ,"Abrasive Disk, Aluminum Oxide ",44.54,"Grit size: 100. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. (Replacement disk for Abrasive Disk Kit NSN 5345-01-015-1419).  "
5345-01-214-5876 ,"Abrasive Disk, Aluminum Oxide ",31.38,"Grit size: 180. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. (Replacement disk for Abrasive Disk Kit NSN 5345-01-015-1419).  "
5345-00-434-6093 ,"Abrasive Disk, Aluminum Oxide ",29.58,"Grit size: 40. Grit size: 40. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. (Replacement disk for Abrasive Disk Kit NSN 5345-01-015-1419).  "
5345-01-104-0961 ,"Abrasive Disk, Aluminum Oxide ",59.39,"Grit size: 60. Abrasive cloth-backed disk is designed for deburring, blending and finishing metal surfaces. Features a snap-on, quick-change, mechanical feature. (Replacement disk for Abrasive Disk Kit NSN 5345-01-015-1419).  "
5345-01-510-9457 ,"Abrasive Disk, Aluminum Oxide (Fiber) ",30.68,"Grit size is 36. Designed for use with portable grinders and sanders and for surface preparation (including removal of paint, scale and rust). Non-waterproof, closed coat disk features a arbor hole (without slits or slots).  "
5345-01-510-9459 ,"Abrasive Disk, Aluminum Oxide (Fiber) ",31.19,"Grit size: 24. Designed for use with portable grinders and sanders and for surface preparation (including removal of paint, scale and rust). Non-waterproof, closed coat disk features a arbor hole (without slits or slots).  "
5345-01-422-7717 ,"Abrasive Disk, Aluminum Oxide (PSA) ",57.03,"Grit size: 40. For use with dual action sanders for metal and woodworking applications, this flat disk features no arbor hole or open coat and is not waterproof.  "
5345-01-420-1460 ,"Abrasive Disk, Aluminum Oxide (PSA) ",41.76,"Grit size: 80. For use with dual action sanders for metal and woodworking applications, this flat disk features no arbor hole or open coat and is not waterproof.  "
5345-01-380-4832 ,"Abrasive Disk, Aluminum Oxide (PSA) ",27.29,"Grit size: 80. For use with dual action sanders for metal and woodworking applications, this flat disk features no arbor hole or open coat and is not waterproof.  "
5345-01-074-9405 ,"Abrasive Disk, Silicon Carbide (PSA) ",27.5,"Grit size: 120. For use with dual action sanders for metal and woodworking applications, this flat disk features no arbor hole or open coat and is not waterproof.  "
5345-01-074-9404 ,"Abrasive Disk, Silicon Carbide (PSA) ",55.28,"Grit size: 180. For use with dual action sanders for metal and woodworking applications, this flat disk features no arbor hole or open coat and is not waterproof.  "
5345-01-314-2377 ,"Abrasive Disk, Surface Conditioning ",99.04,"Medium grade aluminum oxide is designed for metal working. Plain flat, no arbor hole, with hook & loop SC-DH quick change feature. Abrasive Disk is a Scotch-Brite surface conditioning disk that provides a burr-free surface suitable for painting, coating, "
